,Metal Symbol,M Number,X Symbol,X Number,Metal Sym Number,Metal Group,Metal Row,Metal Mass,Metal Density,Metal Inter-atomic Distance,Metal Covalent Radius,Metal First Ionization Energy,Metal Electron Affinity,X Sym Number,X Group,X Row,X Mass,X Density,X Inter-atomic Distance,X Covalent Radius,X First Ionization Energy,X Electron Affinity,Energy,a,b,c,space_group
NiPt1,Ni,1,Pt,1,28,10,4,58.6934,8.902,2.22049722,1.24,7.639878,1.1571612,28,10,6,195.078,21.45,2.4717811,1.36,8.95883,2.125105,-0.077,4.497283797340012,4.497283797340012,4.497283544310943,166
TiMo1,Ti,1,Mo,1,22,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,22,6,5,95.94,10.22,2.498039381,1.54,7.09243,0.74733,-0.503,2.8479936315353656,2.8479936315353656,4.2507215034146855,65
HfOs2,Hf,1,Os,2,72,4,6,178.49,13.31,2.813379288,1.75,6.82507,0.17807,72,8,6,190.23,22.57,2.409898903,1.44,8.43823,1.0778013,-1.054,5.215806435427795,5.215806435427795,8.560314,194
YIr2,Y,1,Ir,2,39,3,5,88.90585,4.469,3.208654844,1.9,6.21726,0.30712,39,9,6,192.217,22.42,2.423641628,1.41,8.96702,1.5643615,-0.836,5.369590705421783,5.369590705421783,5.369590705421783,227
MnRh1,Mn,1,Rh,1,25,7,4,54.938049,7.33,2.317427166,1.39,7.434038,-0.52,25,9,5,102.9055,12.41,2.396837604,1.42,7.4589,1.142892,-0.134,3.045347,3.045347,3.045347,221
ScRu1,Sc,1,Ru,1,21,3,4,44.95591,2.989,2.923052622,1.7,6.56149,0.1882,21,8,5,101.07,12.41,2.382501426,1.46,7.3605,1.0463825,-0.274,3.214795,3.214795,3.214795,221
NiCr2,Ni,1,Cr,2,28,10,4,58.6934,8.902,2.22049722,1.24,7.639878,1.1571612,28,6,4,51.9961,7.19,2.28997268,1.39,6.76651,0.6758412,-0.377,4.640753118635811,4.640753118635811,4.640753118635811,227
HfNb1,Hf,1,Nb,1,72,4,6,178.49,13.31,2.813379288,1.75,6.82507,0.17807,72,5,5,92.90638,8.57,2.620824339,1.64,6.75885,0.917407,-0.518,2.9789392829938643,2.9789392829938643,4.802594,65
MnPt1,Mn,1,Pt,1,25,7,4,54.938049,7.33,2.317427166,1.39,7.434038,-0.52,25,10,6,195.078,21.45,2.4717811,1.36,8.95883,2.125105,-0.171,2.940143,2.940143,3.513114,123
CoRh1,Co,1,Rh,1,27,9,4,58.9332,8.9,2.223683704,1.26,7.88101,0.662265,27,9,5,102.9055,12.41,2.396837604,1.42,7.4589,1.142892,-0.138,4.5257657241117775,4.5257657241117775,4.525765948182694,166
CoTi1,Co,1,Ti,1,27,9,4,58.9332,8.9,2.223683704,1.26,7.88101,0.662265,27,4,4,47.867,4.54,2.596628344,1.6,6.82812,0.075545,-0.163,2.978077,2.978077,2.978077,221
