,Metal Symbol,M Number,X Symbol,X Number,Metal Sym Number,Metal Group,Metal Row,Metal Mass,Metal Density,Metal Inter-atomic Distance,Metal Covalent Radius,Metal First Ionization Energy,Metal Electron Affinity,X Sym Number,X Group,X Row,X Mass,X Density,X Inter-atomic Distance,X Covalent Radius,X First Ionization Energy,X Electron Affinity,a,b,c,space_group
OsN,Os,1,N,1,76,8,6,190.23,22.57,2.409898903360234,1.44,8.43823,1.0778013,76,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,3.2532653641644425,3.2532653641644425,3.2532653641644425,216
OsN2,Os,1,N,2,76,8,6,190.23,22.57,2.409898903360234,1.44,8.43823,1.0778013,76,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,3.0058307452518016,3.0058307452518016,3.77588,187
NiB,Ni,1,B,1,28,10,4,58.6934,8.902,2.220497220254741,1.24,7.639878,1.1571612,28,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,3.959450109405093,3.959450109405093,2.971831,63
Ni2B,Ni,2,B,1,28,10,4,58.6934,8.902,2.220497220254741,1.24,7.639878,1.1571612,28,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,4.1067825168629275,4.1067825168629275,4.1067825168629275,140
NiC,Ni,1,C,1,28,10,4,58.6934,8.902,2.220497220254741,1.24,7.639878,1.1571612,28,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,2.8757509531838807,2.8757509531838807,2.8757509531838807,225
NiN,Ni,1,N,1,28,10,4,58.6934,8.902,2.220497220254741,1.24,7.639878,1.1571612,28,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,2.537711,2.537711,2.537711,221
CrB,Cr,1,B,1,24,6,4,51.9961,7.19,2.2899726798639817,1.39,6.76651,0.6758412,24,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,4.189310915154544,4.189310915154544,2.916397,63
CrB2,Cr,1,B,2,24,6,4,51.9961,7.19,2.2899726798639817,1.39,6.76651,0.6758412,24,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,2.9592883593014387,2.9592883593014387,3.031871,191
Cr2B,Cr,2,B,1,24,6,4,51.9961,7.19,2.2899726798639817,1.39,6.76651,0.6758412,24,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,8.17092215295887,7.598448253719834,4.233706208370392,70
Cr3B4,Cr,3,B,4,24,6,4,51.9961,7.19,2.2899726798639817,1.39,6.76651,0.6758412,24,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,6.843251619100747,6.843251619100747,6.843251619100747,71
CrC,Cr,1,C,1,24,6,4,51.9961,7.19,2.2899726798639817,1.39,6.76651,0.6758412,24,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,2.7069554258886495,2.7069554258886495,2.621571,187
Cr2C,Cr,2,C,1,24,6,4,51.9961,7.19,2.2899726798639817,1.39,6.76651,0.6758412,24,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,2.833089210871059,2.833089210871059,4.258797,164
CrN,Cr,1,N,1,24,6,4,51.9961,7.19,2.2899726798639817,1.39,6.76651,0.6758412,24,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,4.1581010195784085,4.15809201695405,5.065504871339579,139
CrN2,Cr,1,N,2,24,6,4,51.9961,7.19,2.2899726798639817,1.39,6.76651,0.6758412,24,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,13.719660640429996,13.719660640429996,9.176786,63
Cr2N,Cr,2,N,1,24,6,4,51.9961,7.19,2.2899726798639817,1.39,6.76651,0.6758412,24,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,4.409684,4.78461376504499,4.78461376504499,162
Cr3N4,Cr,3,N,4,24,6,4,51.9961,7.19,2.2899726798639817,1.39,6.76651,0.6758412,24,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,7.671867495556737,7.671867495556737,6.655438,159
CoB,Co,1,B,1,27,9,4,58.9332,8.9,2.223683703762846,1.26,7.88101,0.662265,27,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,3.06477,3.921696,5.168983,62
Co2B,Co,2,B,1,27,9,4,58.9332,8.9,2.223683703762846,1.26,7.88101,0.662265,27,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,4.097335665786854,4.097335665786854,4.097335665786854,140
Co2C,Co,2,C,1,27,9,4,58.9332,8.9,2.223683703762846,1.26,7.88101,0.662265,27,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,2.874761,4.362886,4.378502,58
CoN,Co,1,N,1,27,9,4,58.9332,8.9,2.223683703762846,1.26,7.88101,0.662265,27,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,2.8336625433540954,2.8336625433540954,2.8336625433540954,225
Co2N,Co,2,N,1,27,9,4,58.9332,8.9,2.223683703762846,1.26,7.88101,0.662265,27,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,2.838705,4.292,4.539061,58
HfB,Hf,1,B,1,72,4,6,178.49,13.31,2.813379287532789,1.75,6.82507,0.17807,72,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,3.420842600237842,3.420842600237842,3.420842600237842,225
HfB2,Hf,1,B,2,72,4,6,178.49,13.31,2.813379287532789,1.75,6.82507,0.17807,72,13,2,10.811,2.34,1.972269889478773,0.84,8.298019,0.27972325,3.148655927445868,3.148655927445868,3.47992,191
HfC,Hf,1,C,1,72,4,6,178.49,13.31,2.813379287532789,1.75,6.82507,0.17807,72,14,2,12.0107,2.2,2.085122400680275,0.76,11.260288,1.262113612,3.3428661061337768,3.3428661061337768,5.202714,194
HfN,Hf,1,N,1,72,4,6,178.49,13.31,2.813379287532789,1.75,6.82507,0.17807,72,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,2.816176,2.816176,2.816176,221
HfN2,Hf,1,N,2,72,4,6,178.49,13.31,2.813379287532789,1.75,6.82507,0.17807,72,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,5.128189,5.128189,5.128189,205
Hf2N,Hf,2,N,1,72,4,6,178.49,13.31,2.813379287532789,1.75,6.82507,0.17807,72,15,2,14.0067,0.808,3.064722544994379,0.71,14.53413,-0.07,5.348034,5.348034,3.254331,136
