Formula,Metal Symbol,M Number,X Symbol,X Number,Metal Mass,Metal Density,Metal Interatomic Distance,Metal Covalent Radius,X Mass,X Density,X Interatomic Distance,X Covalent Radius
Hf5C2,Hf,5,C,2,178.49,13.31,2.813379287532789,1.75,12.0107,2.2,2.085122400680275,0.76
Co1N1,Co,1,N,1,58.9332,8.9,2.223683703762846,1.26,14.0067,0.808,3.064722544994379,0.71
Co1N2,Co,1,N,2,58.9332,8.9,2.223683703762846,1.26,14.0067,0.808,3.064722544994379,0.71
Co2N1,Co,2,N,1,58.9332,8.9,2.223683703762846,1.26,14.0067,0.808,3.064722544994379,0.71
Co3N4,Co,3,N,4,58.9332,8.9,2.223683703762846,1.26,14.0067,0.808,3.064722544994379,0.71
Co5N2,Co,5,N,2,58.9332,8.9,2.223683703762846,1.26,14.0067,0.808,3.064722544994379,0.71
Co1B1,Co,1,B,1,58.9332,8.9,2.223683703762846,1.26,10.811,2.34,1.972269889478773,0.84
Co1B2,Co,1,B,2,58.9332,8.9,2.223683703762846,1.26,10.811,2.34,1.972269889478773,0.84
Co2B1,Co,2,B,1,58.9332,8.9,2.223683703762846,1.26,10.811,2.34,1.972269889478773,0.84
Co3B4,Co,3,B,4,58.9332,8.9,2.223683703762846,1.26,10.811,2.34,1.972269889478773,0.84
Co5B2,Co,5,B,2,58.9332,8.9,2.223683703762846,1.26,10.811,2.34,1.972269889478773,0.84
Co1C1,Co,1,C,1,58.9332,8.9,2.223683703762846,1.26,12.0107,2.2,2.085122400680275,0.76
Co1C2,Co,1,C,2,58.9332,8.9,2.223683703762846,1.26,12.0107,2.2,2.085122400680275,0.76
Co2C1,Co,2,C,1,58.9332,8.9,2.223683703762846,1.26,12.0107,2.2,2.085122400680275,0.76
Co3C4,Co,3,C,4,58.9332,8.9,2.223683703762846,1.26,12.0107,2.2,2.085122400680275,0.76
Co5C2,Co,5,C,2,58.9332,8.9,2.223683703762846,1.26,12.0107,2.2,2.085122400680275,0.76
